keyword_group,keyword_or_seed,source_or_provenance,observed_on,serp_or_suggest_observation,historical_keyword_planner_snapshot,local_lp_words_already_present,evidence_boundary
commercial_support,退職給付金 サポート おすすめ,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;ランキング送客記事が表示",,短いLP:なし;記事型LP:なし,"一回の画面観測"
commercial_support,退職給付金 サポート 比較,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;紹介・比較記事が表示",,短いLP:なし;記事型LP:比較している方向けの文言,"一回の画面観測"
commercial_support,退職給付金 サポート 怪しい,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;紹介・比較記事が表示",,短いLP:なし;記事型LP:なし,"一回の画面観測"
money,退職給付金,"Google SERP;Googleサジェスト",2026-07-31,"関連スポンサーなし;サジェストにとは/制度/条件/詐欺/申請方法/ハローワーク","2026-07-22:月間平均49500;競合性中;上部入札¥73-318",短いLP:退職後のお金;記事型LP:退職前後の制度,"語義が広く公的制度以外の意味も含む"
money,退職給付金 200万,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;テラスホケン・ソフィア・apiro-taxの送客記事が表示",,短いLP:金額なし;記事型LP:月約20万円,"送客記事の金額表示を事実認定しない"
money,退職給付金 300万,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;ソフィア送客記事が表示",,短いLP:金額なし;記事型LP:月約20万円,"一回の画面観測"
money,退職給付金 最大,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;ソフィア送客記事が表示",,短いLP:金額なし;記事型LP:月約20万円,"一回の画面観測"
money,退職給付金 受給額,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;送客記事の表示は確認できず",,短いLP:なし;記事型LP:受給額の目安,"一回の画面観測"
money,退職 失業保険 いくら,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;広告主系コンテンツが表示",2026-07-22:月間平均20;競合性低;上部入札¥14-235,短いLP:なし;記事型LP:月約20万円,"一回の画面観測"
money,退職給付金とは,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:制度説明,"検索数・広告可否は未確認"
money,退職給付金 条件,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:自己都合・退職直後;記事型LP:条件,"検索数・広告可否は未確認"
money,退職給付金 申請方法,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:申請,"検索数・広告可否は未確認"
money,退職給付金 もらい方,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:制度説明,"検索数・広告可否は未確認"
money,退職給付金 ハローワーク,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:本人が申請,"検索数・広告可否は未確認"
money,退職 給付金 パート でも もらえる,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
money,退職 給付金 転職先が決まっている,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:次の仕事が決まっていない,"検索数・広告可否は未確認"
money,退職 給付金 デメリット,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
timing,自己都合 退職 失業保険,"Google SERP;Googleサジェスト",2026-07-31,"関連スポンサーなし;サジェストに待機期間/期間/いつから","2026-07-22:月間平均140;競合性中;上部入札¥3-170",短いLP:自己都合;記事型LP:退職予定,"給付制限等は公的資料で別確認"
timing,自己都合 退職 失業保険 待機期間,"Google SERP;Googleサジェスト",2026-07-31,"関連スポンサーなし;広告主系コンテンツが表示","2026-07-22:月間平均260;競合性低;上部入札¥2-34",短いLP:自己都合;記事型LP:なし,"一回の画面観測"
timing,自己都合 退職 失業保険 いつから,Googleサジェスト,2026-07-31,"サジェストに表示","2026-07-22:月間平均390;競合性低;上部入札¥3-26",短いLP:自己都合;記事型LP:なし,"現在の数値ではない"
timing,自己都合 退職 失業保険 期間,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
timing,退職 失業保険 手続き,既存キーワードプランナー記録,2026-07-22,"",2026-07-22:月間平均170;競合性中;上部入札¥3-125,短いLP:手続き;記事型LP:申請,"現在の数値ではない"
timing,退職 失業保険 いつから,既存キーワードプランナー記録,2026-07-22,"",2026-07-22:月間平均50;競合性低;上部入札¥3-161,短いLP:退職直後;記事型LP:なし,"現在の数値ではない"
timing,退職前 失業保険,既存キーワードプランナー記録,2026-07-22,"",2026-07-22:月間平均40;競合性中;上部入札¥5-161,短いLP:退職前;記事型LP:退職前,"現在の数値ではない"
injury_allowance,傷病手当 退職後 申請,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:傷病手当金,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後 申請方法,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:本人が申請,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後 いつまで,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後 1年未満,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後に初めて申請,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後 国保,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"検索数・広告可否は未確認"
injury_allowance,傷病手当 退職後 失業保険,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:失業保険;記事型LP:傷病手当金と失業手当,"制度の併給・順番をこの表で判断しない"
situation,体調不良 退職 給付金,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;book-taishoku.comが表示",,短いLP:なし;記事型LP:心や体に不調,"一回の画面観測"
situation,体調不良 退職 傷病手当金,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:傷病手当金,"検索数・広告可否は未確認"
situation,体調不良 退職 診断書なし,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"診断取得を促す表現には使わない"
situation,体調不良 退職 診断書,Googleサジェスト,2026-07-31,"サジェストに表示",,短いLP:なし;記事型LP:なし,"診断取得を促す表現には使わない"
brand,退職リリーフ 口コミ,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;Steady/apiro-tax/退職支援の教科書が表示",,短いLP:退職リリーフ;記事型LP:退職リリーフ,"一回の画面観測"
brand,退職リリーフ 怪しい,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;Steady/apiro-tax/Yokohama Info/ソフィアが表示",,短いLP:退職リリーフ;記事型LP:退職リリーフ,"一回の画面観測"
brand,退職リリーフ 給付金,Google SERP 46語実査,2026-07-31,"関連スポンサーなし;Steady/apiro-tax/退職支援の教科書/ソフィアが表示",,短いLP:退職リリーフ;記事型LP:退職リリーフ,"一回の画面観測"
